NUM_POINTS,TIME
9,0.0691
16,0.0103
25,0.0122
36,0.0155
49,0.0249
64,0.0307
81,0.0388
100,0.0484
121,0.0653
144,0.0857
169,0.1073
196,0.1325
225,0.1662
256,0.2036
289,0.2562
324,0.2980
361,0.3784
400,0.4561
441,0.5168
484,0.6147
529,0.7210
576,0.8628
625,0.9933
676,1.1169
729,1.2724
784,1.4983
841,1.7355
900,1.9530
961,2.2308
1024,2.5989
1089,2.7909
1156,3.1665
1225,3.5772
1296,3.9877
1369,4.3770
1444,4.8865
1521,5.6033
1600,6.1345
1681,6.5119
1764,7.2481
1849,8.0552
1936,8.7277
2025,9.4346
2116,10.5094
2209,11.3742
2304,12.6953
2401,13.8266
2500,14.7577
2601,16.1796
2704,17.2544
2809,18.7927
2916,20.1463
3025,21.7477
3136,23.3592
3249,25.4168
3364,26.9819
3481,29.2142
3600,31.3135
3721,32.7160
3844,15.6966
3969,15.8925
4096,17.7600
4225,18.0759
4356,19.9949
4489,20.3100
4624,22.0714
4761,23.5202
4900,24.6440
5041,26.4732
5184,27.7831
5329,28.6787
5476,30.4612
5625,31.4816
5776,33.9638
5929,36.0491
6084,37.4491
6241,38.3983
6400,41.7326
6561,42.7079
6724,45.3589
6889,48.3392
7056,50.4580
7225,53.0357
7396,54.5060
7569,56.0881
7744,59.4744
7921,63.7748
8100,67.8825
8281,68.9722
8464,72.6002
8649,72.9716
8836,77.6704
9025,81.6464
9216,86.0138
9409,90.8287
9604,97.4570
9801,98.3866
10000,106.8920
10201,109.4867
10404,113.3513
10609,116.0935
10816,121.2967
11025,130.2844
11236,134.7497
11449,141.2711
11664,141.6506
11881,145.7052
12100,156.1849
12321,170.3221
12544,169.6079
12769,177.4157
12996,186.5084
13225,194.9096
13456,196.6805
13689,203.8035
13924,209.3965
14161,226.8762
14400,236.3827
14641,253.8607
14884,251.6596
15129,270.5768
15376,264.1419
15625,278.9812
15876,292.7917
16129,297.5438
16384,309.6742
