NUM_POINTS,TIME
9,0.0045
16,0.0061
25,0.0084
36,0.0113
49,0.0161
64,0.0222
81,0.0300
100,0.0405
121,0.0533
144,0.0696
169,0.0918
196,0.1126
225,0.1463
256,0.1819
289,0.2221
324,0.2695
361,0.3318
400,0.3976
441,0.4752
484,0.5565
529,0.6904
576,0.7930
625,0.9188
676,1.0333
729,1.2139
784,1.4187
841,1.6596
900,1.8478
961,2.1518
1024,2.5877
1089,2.7445
1156,2.9817
1225,3.4122
1296,3.8614
1369,4.3219
1444,4.6847
1521,5.3184
1600,5.7987
1681,6.3927
1764,7.0719
1849,7.7837
1936,8.4952
2025,9.0943
2116,10.2311
2209,11.0467
2304,12.3098
2401,13.4557
2500,14.0082
2601,15.8027
2704,17.0054
2809,18.1141
2916,19.8944
3025,21.1253
3136,23.4223
3249,24.3978
3364,25.9955
3481,28.2339
3600,30.1891
3721,31.8290
3844,14.2206
3969,15.8494
4096,17.0252
4225,18.2845
4356,18.7860
4489,20.1200
4624,21.1400
4761,22.3542
4900,23.5005
5041,24.5661
5184,27.1572
5329,27.3084
5476,28.5710
5625,29.8331
5776,32.8559
5929,35.4747
6084,35.1442
6241,37.9022
6400,39.9717
6561,41.7766
6724,42.8810
6889,46.9026
7056,47.2336
7225,53.1911
7396,51.2528
7569,55.2469
7744,56.8134
7921,59.6414
8100,61.3649
8281,65.5820
8464,69.5493
8649,72.9082
8836,75.3788
9025,78.6501
9216,84.7938
9409,86.2064
9604,90.4574
9801,96.1826
10000,99.8584
10201,103.8112
10404,106.7763
10609,111.2029
10816,116.0448
11025,120.6353
11236,125.3177
11449,134.8723
11664,141.8198
11881,145.2636
12100,148.1111
12321,163.9244
12544,162.6205
12769,173.2187
12996,177.5637
13225,185.6007
13456,196.2749
13689,198.0184
13924,210.0479
14161,217.0425
14400,238.8266
14641,226.1462
14884,252.9256
15129,256.0941
15376,260.4724
15625,274.7408
15876,284.9451
16129,291.5015
16384,308.3127
