NUM_POINTS,TIME
9,0.0049
16,0.0066
25,0.0089
36,0.0143
49,0.0203
64,0.0292
81,0.0371
100,0.0540
121,0.0707
144,0.0909
169,0.1136
196,0.1422
225,0.1787
256,0.2193
289,0.2609
324,0.3174
361,0.3834
400,0.4582
441,0.5401
484,0.6186
529,0.7621
576,0.8646
625,1.0018
676,1.1458
729,1.3123
784,1.5660
841,1.7545
900,1.9813
961,2.3000
1024,2.6846
1089,2.9516
1156,3.1898
1225,3.6184
1296,4.0603
1369,4.5589
1444,4.8499
1521,5.4746
1600,6.0832
1681,6.6757
1764,7.2658
1849,8.2488
1936,8.8941
2025,9.4187
2116,10.3941
2209,11.5904
2304,12.5660
2401,13.7249
2500,14.7664
2601,16.0977
2704,17.3197
2809,18.8206
2916,20.5360
3025,22.0227
3136,23.8931
3249,25.5736
3364,27.1266
3481,29.4410
3600,31.3190
3721,33.4098
3844,15.6573
3969,16.6677
4096,17.4277
4225,19.0209
4356,19.4903
4489,21.2389
4624,22.8019
4761,23.4372
4900,24.5407
5041,25.7841
5184,28.3138
5329,28.6537
5476,29.9919
5625,32.3423
5776,34.2807
5929,35.5872
6084,36.4552
6241,38.6134
6400,41.9342
6561,42.9031
6724,44.8158
6889,47.3385
7056,50.2626
7225,52.5978
7396,53.2294
7569,57.1529
7744,59.3705
7921,62.4814
8100,67.6393
8281,144.9112
8464,151.4552
8649,155.4210
8836,162.4044
9025,167.9122
9216,177.7619
9409,185.5479
9604,192.1832
9801,198.9367
10000,208.2110
10201,216.0395
10404,222.7911
10609,231.1224
10816,241.3984
11025,244.0603
11236,251.9493
11449,236.9627
11664,246.2029
11881,254.1150
12100,267.4846
12321,312.4403
12544,314.1077
12769,323.3904
12996,331.8172
13225,342.7678
13456,355.4579
13689,363.9040
13924,373.3979
14161,393.0833
14400,405.2493
14641,413.9729
14884,433.1922
15129,440.6153
15376,443.0680
15625,454.4711
15876,469.2302
16129,475.8989
16384,509.2820
