NUM_POINTS,TIME
16,1.1116
25,0.8692
36,0.9837
49,0.7492
64,0.8591
81,0.7583
100,0.6839
121,0.6055
144,0.7692
169,0.7183
196,0.8001
225,0.9527
256,0.9292
289,0.8801
324,0.9533
361,0.9251
400,0.8791
441,0.7227
484,0.8486
529,0.7579
576,1.1029
625,1.0408
676,1.1963
729,1.1625
784,1.1417
841,0.8490
900,1.1514
961,0.9439
1024,1.3632
1089,1.4050
1156,1.1363
1225,1.4432
1296,1.1344
1369,1.4523
1444,1.1755
1521,1.2124
1600,1.5601
1681,1.5864
1764,1.5777
1849,1.2533
1936,1.5739
2025,1.7064
2116,1.6178
2209,1.7454
2304,1.8194
2401,1.8206
2500,1.8656
2601,1.6205
2704,1.6542
2809,2.0282
2916,1.9658
3025,1.9761
3136,2.1594
3249,2.1319
3364,2.1673
3481,1.9141
3600,2.2506
3721,1.9494
3844,2.3235
3969,2.3659
4096,2.4849
4225,2.4789
4356,2.4477
4489,2.5911
4624,2.5049
4761,2.7151
4900,2.6937
5041,2.4801
5184,2.8318
5329,2.6114
5476,2.5877
5625,2.9459
5776,2.8505
5929,2.7437
6084,2.8016
6241,3.0140
6400,3.1768
6561,2.9802
6724,3.3064
6889,3.0836
7056,3.4262
7225,3.6360
7396,3.5671
7569,3.5982
7744,3.6865
7921,3.7645
8100,3.8723
8281,3.8759
8464,3.9190
8649,4.0756
8836,3.6784
9025,4.1106
9216,4.1086
9409,3.8945
9604,4.3053
9801,4.0221
10000,4.4723
10201,4.3991
10404,4.2089
10609,4.5437
10816,4.5198
11025,4.7437
11236,4.8045
11449,4.9509
11664,4.7954
11881,4.9912
12100,5.1074
12321,5.2178
12544,5.1808
12769,5.3435
12996,5.4735
13225,5.6802
13456,5.6788
13689,5.3761
13924,5.7291
14161,5.7622
14400,5.7652
14641,6.1067
14884,6.1942
15129,6.2401
15376,6.2183
15625,6.4051
15876,6.6688
16129,6.8231
16384,7.1085
