#POINTS,TIME
9,0.071936
16,0.064608
25,0.063296
36,0.046272
49,0.043296
64,0.045344
81,0.049120
100,0.052672
121,0.055360
144,0.061760
169,0.063488
196,0.067776
225,0.076448
256,0.083968
289,0.088064
324,0.095264
361,0.102528
400,0.109600
441,0.117312
484,0.131712
529,0.141728
576,0.153632
625,0.176128
676,0.193120
729,0.217280
784,0.246400
841,0.278944
900,0.747168
961,0.350112
1024,0.380928
1089,0.423008
1156,0.433568
1225,0.454656
1296,0.497504
1369,0.498208
1444,0.536256
1521,0.563168
1600,0.571360
1681,0.598016
1764,0.625888
1849,0.654848
1936,1.329152
2025,0.739904
2116,0.784384
2209,0.792672
2304,0.826304
2401,0.841728
2500,0.876192
2601,0.903520
2704,0.973696
2809,0.968480
2916,2.081600
3025,1.053440
3136,1.111840
3249,1.162560
3364,1.196224
3481,1.236384
3600,1.244704
3721,1.280000
3844,2.401728
3969,1.401728
4096,1.429696
4225,1.469728
4356,1.506976
4489,1.558432
4624,1.592512
4761,2.497472
4900,1.706720
5041,1.736928
5184,1.783392
5329,1.857504
5476,1.876064
5625,2.244608
5776,2.207008
5929,2.028576
6084,2.074624
6241,2.166112
6400,2.213920
6561,4.392800
6724,2.320928
6889,2.310688
7056,2.403360
7225,3.104960
7396,3.407872
7569,2.535616
7744,2.613664
7921,2.664512
8100,4.525120
8281,2.773632
8464,2.835904
8649,2.882560
8836,4.778240
9025,3.011072
9216,3.087616
9409,3.808736
9604,3.294176
9801,3.288960
10000,3.367232
10201,5.487328
10404,3.514080
10609,3.555072
10816,4.501504
11025,3.690496
11236,3.780192
11449,3.812832
11664,5.685824
11881,3.948064
12100,4.021856
12321,5.926976
12544,4.174368
12769,4.234176
12996,4.286048
13225,4.364224
13456,4.438976
13689,6.678624
13924,4.643840
14161,5.810112
14400,4.855552
14641,4.928480
14884,6.860800
15129,4.355968
15376,3.721824
15625,3.778560
15876,3.893120
16129,4.024320
16384,5.977248
