#POINTS,TIME
9,0.032480
16,0.034368
25,0.043008
36,0.036896
49,0.039328
64,0.041728
81,0.045376
100,0.049152
121,0.052768
144,0.056096
169,0.061120
196,0.065216
225,0.074080
256,0.081248
289,0.084448
324,0.091936
361,0.098560
400,0.106944
441,0.114912
484,0.129216
529,0.139680
576,0.161856
625,0.173760
676,0.191264
729,0.208896
784,0.247008
841,0.270592
900,0.328576
961,0.346432
1024,0.374816
1089,0.410080
1156,0.422016
1225,0.447264
1296,0.477184
1369,0.493824
1444,0.519776
1521,0.541664
1600,0.578016
1681,0.609632
1764,0.625184
1849,0.550592
1936,0.573632
2025,0.597632
2116,0.635680
2209,0.641792
2304,0.661376
2401,0.706624
2500,0.731808
2601,0.741792
2704,0.785344
2809,0.808992
2916,0.835392
3025,0.861184
3136,0.888832
3249,0.923232
3364,0.951328
3481,0.983680
3600,1.027008
3721,1.046688
3844,0.954080
3969,0.954240
4096,0.982944
4225,1.015456
4356,1.052672
4489,1.079104
4624,1.093472
4761,1.121824
4900,1.182720
5041,1.189472
5184,1.223008
5329,1.279776
5476,1.299168
5625,1.313728
5776,1.389088
5929,1.404448
6084,1.433280
6241,1.493024
6400,1.527648
6561,1.562592
6724,1.590176
6889,1.628864
7056,1.653824
7225,1.684416
7396,1.725728
7569,1.763392
7744,1.802240
7921,1.845216
8100,1.881792
8281,1.926336
8464,1.966816
8649,2.015232
8836,2.052608
9025,2.129952
9216,2.162624
9409,2.218304
9604,2.234176
9801,2.306272
10000,2.317376
10201,2.406688
10404,2.412448
10609,2.457728
10816,2.519040
11025,2.570624
11236,2.617888
11449,2.705248
11664,2.728608
11881,2.776768
12100,2.813888
12321,2.898240
12544,2.928512
12769,2.982976
12996,3.047424
13225,3.104288
13456,3.133216
13689,3.194528
13924,3.264576
14161,3.329440
14400,3.395744
14641,3.447104
14884,3.507904
15129,3.565792
15376,3.645376
15625,3.700288
15876,3.807648
16129,3.941728
16384,4.073120
