#POINTS,TIME
9,0.025792
16,0.034816
25,0.035552
36,0.035840
49,0.038752
64,0.039712
81,0.041824
100,0.044448
121,0.046784
144,0.049152
169,0.051456
196,0.054432
225,0.059136
256,0.063072
289,0.066656
324,0.070016
361,0.076608
400,0.082112
441,0.086496
484,0.096512
529,0.103392
576,0.109088
625,0.123296
676,0.132224
729,0.141312
784,0.160032
841,0.172032
900,0.195008
961,0.213056
1024,0.230496
1089,0.234912
1156,0.248384
1225,0.268480
1296,0.284576
1369,0.304000
1444,0.315168
1521,0.329536
1600,0.341088
1681,0.366592
1764,0.374656
1849,0.389120
1936,0.409216
2025,0.433792
2116,0.440736
2209,0.458944
2304,0.488448
2401,0.490848
2500,0.514784
2601,0.534592
2704,0.557152
2809,0.589824
2916,0.603104
3025,0.630976
3136,0.631264
3249,0.690784
3364,0.691648
3481,0.721856
3600,0.733120
3721,0.766816
3844,0.774848
3969,0.798464
4096,0.813056
4225,0.612128
4356,0.625664
4489,0.634880
4624,0.653088
4761,0.688512
4900,0.706784
5041,0.691424
5184,0.716416
5329,0.739040
5476,0.761152
5625,0.793056
5776,0.806240
5929,0.827968
6084,0.829312
6241,0.850816
6400,0.873600
6561,0.904704
6724,0.915712
6889,0.937664
7056,0.963072
7225,0.979360
7396,1.003872
7569,1.030208
7744,1.050784
7921,1.085472
8100,1.095584
8281,1.117440
8464,1.141184
8649,1.189568
8836,1.201984
9025,1.217088
9216,1.264736
9409,1.265344
9604,1.308320
9801,1.330976
10000,1.357824
10201,1.395392
10404,1.426016
10609,1.452096
10816,1.475680
11025,1.488896
11236,1.511424
11449,1.541312
11664,1.569440
11881,1.599040
12100,1.655008
12321,1.652256
12544,1.679648
12769,1.709760
12996,1.738496
13225,1.777152
13456,1.813344
13689,1.853600
13924,1.863136
14161,1.891296
14400,1.929984
14641,1.970880
14884,2.006304
15129,2.063648
15376,2.107520
15625,2.111840
15876,2.196544
16129,2.279072
16384,2.296896
