#POINTS,TIME
9,0.027712
16,0.034816
25,0.036192
36,0.037344
49,0.039360
64,0.041376
81,0.044832
100,0.047104
121,0.049888
144,0.053184
169,0.056128
196,0.049728
225,0.067840
256,0.069888
289,0.074592
324,0.080064
361,0.086016
400,0.092064
441,0.099520
484,0.108352
529,0.116736
576,0.124672
625,0.137216
676,0.145408
729,0.157664
784,0.171936
841,0.188320
900,0.208896
961,0.226144
1024,0.247488
1089,0.260256
1156,0.274432
1225,0.291488
1296,0.312480
1369,0.318272
1444,0.333440
1521,0.348224
1600,0.364448
1681,0.381088
1764,0.400000
1849,0.417216
1936,0.431232
2025,0.451584
2116,0.483392
2209,0.511200
2304,0.509952
2401,0.529216
2500,0.552960
2601,0.571232
2704,0.591616
2809,0.618304
2916,0.632032
3025,0.661664
3136,0.688256
3249,0.720704
3364,0.745696
3481,0.759968
3600,0.784000
3721,0.832288
3844,0.841600
3969,0.854272
4096,0.908704
4225,0.902880
4356,0.954816
4489,0.660736
4624,0.675872
4761,0.710880
4900,0.731584
5041,0.745504
5184,0.769856
5329,0.785792
5476,0.815104
5625,0.845056
5776,0.842080
5929,0.861024
6084,0.917504
6241,0.912992
6400,0.940128
6561,0.984960
6724,1.024000
6889,1.010752
7056,1.035072
7225,1.075680
7396,1.083808
7569,1.116832
7744,1.123776
7921,1.168224
8100,1.202048
8281,1.237280
8464,1.254944
8649,1.254080
8836,1.289952
9025,1.301664
9216,1.334656
9409,1.354368
9604,1.413120
9801,1.411296
10000,1.435296
10201,1.469984
10404,1.503040
10609,1.527808
10816,1.552448
11025,1.584896
11236,1.642112
11449,1.645984
11664,1.671168
11881,1.718944
12100,1.747648
12321,1.771232
12544,1.810624
12769,1.848992
12996,1.869824
13225,1.903744
13456,1.923072
13689,1.977248
13924,2.032864
14161,2.025472
14400,2.095072
14641,2.097152
14884,2.159232
15129,2.185600
15376,2.228224
15625,2.260672
15876,2.314112
16129,2.358240
16384,2.449856
