#POINTS,TIME
9,0.028192
16,0.034816
25,0.035200
36,0.028672
49,0.037824
64,0.039936
81,0.041824
100,0.043712
121,0.046816
144,0.049088
169,0.052544
196,0.054368
225,0.059392
256,0.062304
289,0.066496
324,0.071680
361,0.076384
400,0.080736
441,0.086912
484,0.097504
529,0.103648
576,0.108832
625,0.123904
676,0.132480
729,0.141504
784,0.157408
841,0.180288
900,0.195040
961,0.212800
1024,0.231232
1089,0.252640
1156,0.258464
1225,0.280416
1296,0.273152
1369,0.294624
1444,0.302656
1521,0.325952
1600,0.341664
1681,0.356448
1764,0.382976
1849,0.389344
1936,0.405504
2025,0.423936
2116,0.441344
2209,0.459232
2304,0.477248
2401,0.514176
2500,0.518144
2601,0.549792
2704,0.560416
2809,0.578304
2916,0.606528
3025,0.634112
3136,0.649088
3249,0.665984
3364,0.694752
3481,0.700608
3600,0.716928
3721,0.763584
3844,0.774368
3969,0.798176
4096,0.577952
4225,0.596864
4356,0.603872
4489,0.621568
4624,0.643072
4761,0.670048
4900,0.678336
5041,0.693856
5184,0.721376
5329,0.749536
5476,0.743808
5625,0.772064
5776,0.804896
5929,0.814912
6084,0.839520
6241,0.871616
6400,0.887808
6561,0.911648
6724,0.932064
6889,0.954464
7056,0.972928
7225,0.988512
7396,1.014688
7569,1.024576
7744,1.045376
7921,1.086816
8100,1.112064
8281,1.132544
8464,1.177056
8649,1.196416
8836,1.224704
9025,1.211328
9216,1.267136
9409,1.271232
9604,1.297216
9801,1.338816
10000,1.363968
10201,1.384480
10404,1.392288
10609,1.445312
10816,1.474368
11025,1.475840
11236,1.528000
11449,1.532896
11664,1.562528
11881,1.611808
12100,1.642496
12321,1.647776
12544,1.681792
12769,1.708448
12996,1.739936
13225,1.800672
13456,1.821600
13689,1.846336
13924,1.879104
14161,1.910784
14400,1.936128
14641,1.967104
14884,1.988928
15129,2.019776
15376,2.060288
15625,2.123712
15876,2.159456
16129,2.228032
16384,2.291168
