#POINTS,TIME
9,0.077536
16,0.067104
25,0.058784
36,0.041504
49,0.039136
64,0.041344
81,0.044768
100,0.046880
121,0.049152
144,0.049728
169,0.055296
196,0.057504
225,0.063424
256,0.067968
289,0.073728
324,0.079872
361,0.088544
400,0.094528
441,0.102752
484,0.118432
529,0.131072
576,0.143200
625,0.165600
676,0.190976
729,0.210240
784,0.243072
841,0.270656
900,0.311360
961,0.344064
1024,0.379424
1089,0.397728
1156,0.419968
1225,0.673600
1296,0.467040
1369,0.492384
1444,0.514208
1521,0.540608
1600,0.587264
1681,0.593920
1764,0.620480
1849,0.649888
1936,0.676960
2025,0.709984
2116,0.739328
2209,0.770368
2304,1.077248
2401,0.846240
2500,0.880704
2601,0.904576
2704,0.937248
2809,0.968256
2916,1.003712
3025,1.042432
3136,1.087136
3249,1.128064
3364,2.248192
3481,1.211968
3600,1.243424
3721,1.292160
3844,1.329504
3969,1.363872
4096,1.406432
4225,1.646528
4356,2.388608
4489,1.556960
4624,1.599488
4761,1.647936
4900,1.662816
5041,1.711456
5184,3.708928
5329,1.829696
5476,1.868768
5625,1.916352
5776,1.969280
5929,2.026272
6084,2.158720
6241,2.136064
6400,2.210112
6561,2.230496
6724,3.211104
6889,2.359552
7056,2.408384
7225,2.457568
7396,2.537728
7569,4.439488
7744,2.648064
7921,2.702432
8100,2.734208
8281,4.927648
8464,2.866816
8649,2.943008
8836,3.010144
9025,5.148384
9216,3.111872
9409,3.119360
9604,2.259136
9801,3.812960
10000,2.371936
10201,2.426240
10404,2.470528
10609,2.508800
10816,3.375808
11025,2.603744
11236,2.667744
11449,2.688832
11664,4.280384
11881,2.816544
12100,2.862816
12321,2.886976
12544,3.173568
12769,3.014880
12996,3.073888
13225,3.130080
13456,4.900864
13689,3.264832
13924,3.268448
14161,3.341568
14400,4.734816
14641,3.452864
14884,3.516096
15129,5.306432
15376,3.649056
15625,3.711104
15876,5.568512
16129,3.986176
16384,4.100256
