#POINTS,TIME
9,0.040192
16,0.039200
25,0.043232
36,0.053504
49,0.292864
64,0.089408
81,0.099968
100,0.112832
121,0.127840
144,0.162144
169,0.178816
196,0.201568
225,0.243712
256,0.266656
289,0.317344
324,0.358208
361,0.413248
400,0.488704
441,0.540864
484,0.583840
529,0.720480
576,0.778656
625,1.440448
676,1.056448
729,1.134080
784,1.399872
841,1.503232
900,1.829312
961,1.950816
1024,2.097152
1089,3.266752
1156,2.353312
1225,2.492832
1296,2.632544
1369,3.794176
1444,2.918400
1521,3.069312
1600,3.196896
1681,5.365760
1764,3.538976
1849,3.697440
1936,4.523264
2025,4.082016
2116,4.241888
2209,5.060608
2304,5.501824
2401,4.806560
2500,7.050816
2601,5.215808
2704,5.662720
2809,6.492832
2916,5.842880
3025,8.090688
3136,6.235136
3249,8.304672
3364,6.717440
3481,7.219872
3600,7.161312
3721,9.490208
3844,7.663744
3969,9.934496
4096,9.574208
4225,5.868640
4356,6.031488
4489,7.026208
4624,6.373248
4761,6.813280
4900,6.786432
5041,8.628512
5184,7.170624
5329,8.839776
5476,7.589760
5625,7.747904
5776,8.413408
5929,8.970496
6084,10.028672
6241,8.552064
6400,10.461024
6561,10.694720
6724,9.254976
6889,11.176224
7056,11.360640
7225,11.196032
7396,10.329472
7569,12.040224
7744,12.410528
7921,12.517728
8100,12.731104
8281,11.520160
8464,13.077696
8649,13.547040
8836,13.752416
9025,14.005600
9216,14.290432
9409,14.569120
9604,14.790272
9801,14.966368
10000,15.321792
10201,14.723488
10404,15.831040
10609,16.156256
10816,16.473696
11025,16.745760
11236,16.886560
11449,15.857568
11664,18.132992
11881,17.949312
12100,18.085888
12321,17.055584
12544,20.368193
12769,18.985056
12996,17.978111
13225,19.770880
13456,20.094976
13689,18.901089
13924,20.765375
14161,21.089888
14400,21.261024
14641,20.240831
14884,22.081120
15129,23.711937
15376,22.767584
15625,24.618464
15876,23.379488
16129,24.914017
16384,22.582657
