#POINTS,TIME
9,0.046784
16,0.068064
25,0.071488
36,0.037984
49,0.040032
64,0.041088
81,0.043456
100,0.044224
121,0.045920
144,0.050240
169,0.051552
196,0.055360
225,0.062176
256,0.063488
289,0.071776
324,0.072256
361,0.078112
400,0.082304
441,0.090592
484,0.098528
529,0.106464
576,0.135712
625,0.126528
676,0.131584
729,0.145248
784,0.159744
841,0.176544
900,0.195008
961,0.218336
1024,0.239616
1089,0.245760
1156,0.258048
1225,0.271616
1296,0.285952
1369,0.299008
1444,0.312384
1521,0.354016
1600,0.362336
1681,0.365312
1764,0.373984
1849,0.391072
1936,0.405376
2025,0.425472
2116,0.442688
2209,0.462816
2304,0.478464
2401,0.500352
2500,0.535648
2601,0.538880
2704,0.553472
2809,0.575712
2916,0.598528
3025,0.622656
3136,0.642848
3249,1.298432
3364,0.689792
3481,0.720960
3600,0.757760
3721,0.765856
3844,0.777344
3969,0.800576
4096,0.828864
4225,1.264992
4356,0.869312
4489,1.787904
4624,0.936672
4761,1.109760
4900,0.989440
5041,1.012544
5184,1.039680
5329,1.065056
5476,1.091904
5625,1.121184
5776,2.218368
5929,1.208320
6084,1.236736
6241,1.252320
6400,1.276576
6561,1.307008
6724,1.334560
6889,1.369056
7056,3.165408
7225,1.456128
7396,1.475648
7569,1.517248
7744,1.543584
7921,1.583936
8100,2.341248
8281,1.645952
8464,1.686752
8649,1.720320
8836,1.737536
9025,1.814080
9216,2.135008
9409,2.791520
9604,1.898496
9801,1.930560
10000,1.981120
10201,1.914624
10404,3.829120
10609,1.910432
10816,1.949600
11025,1.990656
11236,2.018944
11449,2.684992
11664,2.099520
11881,2.129248
12100,2.173472
12321,2.195840
12544,2.488320
12769,2.475776
12996,2.316448
13225,2.354848
13456,2.405472
13689,4.384448
13924,2.507072
14161,2.542304
14400,2.612224
14641,4.181664
14884,2.825600
15129,2.685504
15376,2.769920
15625,5.534272
15876,2.905856
16129,2.997024
16384,3.898592
