#POINTS,TIME
9,0.035136
16,0.067680
25,0.063360
36,0.043008
49,0.038208
64,0.040832
81,0.056640
100,0.045056
121,0.048992
144,0.049728
169,0.052096
196,0.055392
225,0.059648
256,0.062816
289,0.067904
324,0.072160
361,0.079200
400,0.081760
441,0.088416
484,0.096544
529,0.103872
576,0.321536
625,0.131072
676,0.133248
729,0.147072
784,0.164288
841,0.175392
900,0.198400
961,0.214624
1024,0.235584
1089,0.245696
1156,0.258144
1225,0.272384
1296,0.285728
1369,0.299968
1444,0.317440
1521,0.327584
1600,0.342752
1681,0.358720
1764,0.374336
1849,0.390816
1936,0.909472
2025,0.436096
2116,0.449760
2209,0.465440
2304,0.483168
2401,0.517760
2500,0.534464
2601,0.536672
2704,0.555008
2809,0.582528
2916,0.596320
3025,0.643072
3136,0.644992
3249,0.686528
3364,1.773568
3481,0.732992
3600,0.737280
3721,0.759424
3844,0.782752
3969,0.803840
4096,0.825888
4225,0.855744
4356,0.876992
4489,0.907040
4624,1.791648
4761,0.965312
4900,0.993280
5041,1.009248
5184,1.034112
5329,1.071200
5476,1.093504
5625,1.122496
5776,1.148000
5929,2.027872
6084,1.209504
6241,1.247072
6400,1.282016
6561,1.301600
6724,1.329504
6889,1.363072
7056,1.638752
7225,2.368448
7396,1.473024
7569,1.491136
7744,1.550048
7921,1.587936
8100,1.595264
8281,2.070336
8464,1.691648
8649,1.739936
8836,1.761280
9025,1.785632
9216,1.819008
9409,2.108096
9604,1.915008
9801,1.959872
10000,1.982336
10201,2.027072
10404,2.064000
10609,2.828352
10816,2.149568
11025,2.192032
11236,2.217856
11449,2.273280
11664,3.256192
11881,2.360864
12100,2.380064
12321,2.438048
12544,2.467264
12769,4.755456
12996,2.602752
13225,2.611296
13456,2.658656
13689,4.917088
13924,2.734400
14161,2.794560
14400,2.845312
14641,5.555456
14884,2.922496
15129,3.008352
15376,4.145440
15625,2.144480
15876,2.227232
16129,2.300128
16384,2.358720
